ISSN,"Abbreviated Journal Title",Rank,Field,Status
0002-9262,American Journal of Epidemiology,A1,INTERDISCIPLINAR,Atualizado
1042-0533,American Journal of Human Biology,A1,ENGENHARIAS III,Atualizado
0002-9297,American Journal of Human Genetics,A1,INTERDISCIPLINAR,Atualizado
0002-9327,American Journal of Mathematics (Print),A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0002-9378,American Journal of Obstetrics and Gynecology (Print),A1,INTERDISCIPLINAR,Atualizado
0090-0036,American Journal of Public Health (1971),A1,INTERDISCIPLINAR,Atualizado
1073-449X,American Journal of Respiratory and Critical Care Medicine,A1,INTERDISCIPLINAR,Atualizado
1945-8924,American Journal of Rhinology & Allergy (Print),A1,ENGENHARIAS III,Atualizado
1600-6135,American Journal of Transplantation (Print),A1,INTERDISCIPLINAR,Atualizado
0939-4451,Amino Acids (Wien. Print),A1,INTERDISCIPLINAR,Atualizado
1075-9964,Anaerobe (London. Print),A1,ENGENHARIAS I,Atualizado
0001-3765,Anais da Academia Brasileira de Ciências (Impresso),A1,INTERDISCIPLINAR,Atualizado
0001-3765,Anais da Academia Brasileira de Ciências (Impresso),A1,ENGENHARIAS III,Atualizado
0003-2654,Analyst (London. 1877. Print),A1,ENGENHARIAS III,Atualizado
0003-2654,Analyst (London. 1877. Print),A1,INTERDISCIPLINAR,Atualizado
1873-4324,Analytica Chimica Acta (Online),A1,ENGENHARIAS III,Atualizado
0003-2670,Analytica Chimica Acta (Print),A1,INTERDISCIPLINAR,Atualizado
0003-2670,Analytica Chimica Acta (Print),A1,ENGENHARIAS III,Atualizado
1618-2642,Analytical and Bioanalytical Chemistry (Print),A1,INTERDISCIPLINAR,Atualizado
0003-2700,Analytical Chemistry (Washington),A1,INTERDISCIPLINAR,Atualizado
1757-5958,Analytical Methods,A1,INTERDISCIPLINAR,Atualizado
1433-7851,Angewandte Chemie (International ed. Print),A1,ENGENHARIAS II,Atualizado
0003-3472,Animal Behaviour,A1,INTERDISCIPLINAR,Atualizado
0373-0956,Annales de l'Institut Fourier,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1777-5310,Annales de l'Institut Fourier (Online),A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0294-1449,Annales de l Institut Henri Poincaré. Analyse non Linéaire,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
,"Annales de l'Institut Henri Poincaré, Analyse non Linéaire.",A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0395-2649,Annales (Paris),A1,INTERDISCIPLINAR,Atualizado
0012-9593,Annales Scientifiques de l'Ecole Normale Supérieure,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0391-173X,Annali della Scuola Normale Superiore di Pisa. Classe di Scienze (Testo Stampato),A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
